type,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC clay topsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil
QF 2,90,86,3,4,7,10,6,5.5,0.5,0.15,0.05,0.02,70,45,4,4,35,35,0,0,1.4,1.5,11,10
QF 3,85,81,5,7,10,12,5.9,5.4,0.8,0.2,0.07,0.02,70,40,6,5,35,35,0,0,1.4,1.5,11,9
QL,92.8,91.7,2.7,2.9,4.7,5.5,6.3,6.1,0.2,0.12,0.02,0.02,74,72,3.5,3.2,58,57,0.2,0.4,1.4,1.5,10,5
QL 1,92.6,91.7,2.7,2.9,4.8,5.5,6.3,6,0.2,0.12,0.02,0.02,73,71,3.5,3.2,58,57,0.2,0.4,1.4,1.5,10,5
QL 2,87,80,3,5,10,15,6.3,6.1,0.8,0.2,0.09,0.02,73,70,8,8,50,50,0,0,1.4,1.5,10,9
QL 3,83,75,5,7,12,18,6.3,6.1,0.8,0.2,0.09,0.02,73,70,9,10,50,50,0,0,1.4,1.5,10,9
R,70.6,71.9,14.1,13.7,15.4,14.3,6.7,7,0.57,0.43,0.12,0.1,83,79,10.6,8.9,44,42,3.4,3.5,1.4,1.3,10,9
RC,63.5,62.8,19.2,18.4,17.3,18.7,7.6,7.6,0.76,0.41,0.28,0.04,89,89,10.7,11.2,52,50,15.1,1.9,1.5,1.5,11,9
RC 1,82.2,82.1,6.9,6.9,10.9,11.1,7.5,7.6,0.33,0.33,0.03,0.03,85,86,7,6.9,50,49,3,3.4,1.5,1.5,11,9
RC 2,38.7,37.1,35.5,33.8,25.8,28.8,7.5,7.6,0.58,0.52,0.05,0.06,93,93,15.4,17,57,53,1.2,0.9,1.5,1.5,11,9
RC 3,30,35,40,33,30,32,7.5,7.6,0.8,0.6,0.07,0.07,90,90,18,18,50,50,10,15,1.5,1.5,11,9
RD,82.1,79.2,6.7,5.7,11.3,15.1,7,6.8,0.27,0.15,0.02,0.01,79,65,10.8,8.5,24,23,0.1,0.1,1.5,1.5,15,12
RD 1,83,79.2,6.5,5.7,10.5,15.1,7,6.8,0.27,0.15,0.02,0.01,79,65,10.8,8.5,24,23,0.1,0.1,1.7,1.7,17,14
RD 2,40,44,37,38,23,18,6.2,5.6,0.5,0.16,0.03,0.01,65,45,8,5,25,25,0,0,1.5,1.5,15,12
RD 3,30,35,40,33,30,32,6,5.8,0.7,0.23,0.05,0.02,60,48,10,9,25,25,0,0,1.4,1.4,14,11
RE,68.3,71.6,15.1,15.2,16.6,13.2,6.4,6.8,0.5,0.45,0.06,0.06,83,76,10.2,6.7,44,42,1.6,6.4,1.4,1.2,9,7
RE 1,82.8,79.9,7.5,8.2,9.7,11.7,6.4,6.6,0.29,0.23,0.04,0.03,77,71,4.8,5.2,39,42,1.1,9.3,1.7,1.5,10,8
RE 2,38.7,43.8,36.9,38.2,24.6,17.9,6.9,7.1,0.82,1.04,0.13,0.13,88,89,16.9,11.6,51,42,3.9,1.6,1,0.9,9,7
RE 3,30,35,40,33,30,32,6.1,6.5,0.99,0.3,0.1,0.04,95,80,29.9,14,58,42,0,0,1.4,1.4,10,8
RX,82.5,87.5,9.9,6.3,7.7,6.3,5.4,5.5,1.7,0.77,0.18,0.16,79,80,19.8,21.5,70,60,0,0,1.5,1.5,10,13
RX 1,82.5,87.5,9.9,6.3,7.7,6.3,5.2,5,1.7,0.77,0.17,0.06,76,79,12.6,10.7,70,60,0,0,1.6,1.6,10,13
RX 2,40,44,37,38,23,18,5.4,5.5,2,0.8,0.2,0.07,75,75,23,14,70,60,0,0,1.5,1.5,10,12
RX 3,30,35,40,33,30,32,5.4,5.6,2.2,0.8,0.22,0.07,75,80,29,22,70,60,0,0,1.4,1.4,10,12
S,55.4,47.3,20.4,19.8,24.2,32.8,8.2,8.6,0.65,0.48,0.11,0.05,95,92,14.7,18.7,55,51,1.3,4.7,1.3,1.4,9,9
SG,53.9,37.7,25.5,26.2,20.6,36.1,8,8.7,0.67,0.45,0.1,0.05,91,89,10.8,17.5,51,43,0,0,1.4,1.3,11,16
SG 1,79.7,58,8.9,10.9,11.5,31.2,7.9,9.5,0.26,0.1,0.03,0.01,97,100,6.3,14.4,50,47,0,0,1.4,1.8,10,9
SG 2,35.4,21.5,44.9,40.3,19.5,38.1,7.1,7.7,0.5,0.2,0.07,0.04,84,78,10.4,17.5,53,38,0,0,1.4,1.3,7,7
SG 3,39.3,29.5,19.7,28.5,41,42,9.9,9.2,1.82,1.31,0.13,0.05,100,100,20.7,23.7,50,40,5,10,1.4,1.7,14,26
SM,51.7,59.7,31.9,21,16.4,19.2,7.6,8.5,1.14,0.46,0.15,0.07,92,92,16.1,18.2,83,69,4.2,8.5,1.4,1.6,9,6
SM 1,80,60,10,15,10,25,7.5,8.5,1.2,0.4,0.13,0.05,92,92,12,21,80,70,4,8,1.3,1.8,9,8
SM 2,55.4,59.7,25,21,19.6,19.2,7.6,8.5,1.14,0.46,0.15,0.07,92,92,16.1,18.2,83,69,4.2,8.5,1.4,1.6,9,6
SM 3,40,35,20,15,40,50,7.8,9,1.5,0.5,0.17,0.06,95,100,37,37,80,70,5,10,1.3,1.7,9,8
SO,57.6,47.2,13.5,16.8,29,35.9,8.5,8.7,0.39,0.51,0.08,0.03,97,93,15.7,19.4,48,50,0.5,3,1.2,1.4,9,8
SO 1,86.6,69.4,9.6,13.2,3.7,17.5,6.6,7.1,0.44,3.06,0.05,0.38,90,58,16.6,22,50,55,0.1,0.4,1.4,1.8,9,8
SO 2,59.5,47.7,16.4,20.5,24.4,31.6,8.8,9.4,0.4,0.19,0.08,0.03,98,100,12.4,17.6,50,53,0.5,5,0.9,1,10,8
SO 3,40.4,35.4,11.2,13,48.5,51.6,9.2,8.2,0.37,0.19,0.07,0.03,100,100,20.3,21,45,45,1,1.5,1.3,1.7,7,7
T,42.1,43.1,38.1,38.3,19.8,18.7,5.8,6.1,5.23,2.63,0.39,0.24,43,43,29.8,25.4,64,61,0.3,0.3,0.8,0.8,17,13
TH,41,42.6,41.3,41,17.7,16.4,5.4,5.7,7.03,3.66,0.47,0.31,19,19,34,28.5,78,69,0,0,0.6,0.6,22,16
TH 1,72.8,74.4,19.3,18.2,8,7.3,5.4,5.9,9.57,2.32,0.31,0.1,15,16,27.9,11.6,92,65,0,0,0.4,0.7,67,32
TH 2,34.3,36.2,49.5,49.9,16.2,13.9,5.3,5.7,6.97,4.42,0.46,0.23,19,18,36.5,32.2,91,79,0,0,0.7,0.6,13,13
TH 3,7.6,8.1,40.8,35,51.7,57,4.9,5,9.65,5.16,0.6,0.32,14,20,37.1,27.5,58,51,0,0,0.6,0.8,17,18
TM,31.2,27.5,39.6,42.8,29.2,30,6.3,6.5,3.95,1.93,0.34,0.16,77,69,33,28.6,45,54,1,1,1,0.9,10,10
TM 1,70,75,20,20,10,5,6.3,6.5,3.5,1.5,0.35,0.15,75,70,21,10,90,80,1,1,0.4,0.7,10,10
TM 2,38.5,34,44.5,49,17,17.3,6.5,6.9,4.35,2.37,0.33,0.17,74,75,29.8,27,90,83,1.5,1.4,1.1,1.1,11,12
TM 3,9.3,7.7,24.9,24.2,66,68.1,5.5,5.2,2.36,0.72,0.27,0.08,66,49,28.8,25.3,45,40,0,0,0.7,0.6,9,10
TO,38.2,41.6,36.6,35,25.2,23.5,6,6.4,3.02,1.08,0.31,0.14,60,58,23.1,20.2,27,23,1,1,0.9,0.9,11,11
TO 1,45,50,50,45,5,5,6,6.4,2.5,1,0.23,0.09,60,58,11,5,40,30,1,1,1,1.1,11,11
TO 2,43.5,48.1,41.1,39,15.5,12.9,6.4,6.8,3.31,1.15,0.34,0.16,69,67,23.8,20.7,30,25,1.3,1.3,0.9,0.9,11,12
TO 3,12,9.1,14,14.7,74,76.1,4.3,4.5,1.57,0.74,0.17,0.08,14,12,19.6,17.6,27,23,0,0,0.9,0.9,9,9
TV,64.5,67,26.2,26.3,9.3,6.7,6.3,6.5,1.4,0.84,0.27,0.16,53,64,15.2,13.9,75,60,0,0,1.1,1.1,11,10
TV 1,75.5,69,19.5,25.5,5,5.6,6.5,6.5,0.87,0.38,0.09,0.04,72,83,5.9,4.6,75,60,0,0,1.2,1.3,12,11
TV 2,42.5,63,39.7,27.9,18,9.1,5.8,6.3,2.3,0.74,0.56,0.32,27,32,26.4,23.3,75,60,0,0,1,0.9,8,8
TV 3,40,50,35,30,25,20,5.8,6.3,3,1,0.3,0.33,27,32,29,16,75,60,0,0,0.8,0.9,10,9
U,50.8,47,16.8,18,32.3,35,4.1,4.2,2.38,2,0.3,0.25,7,9,17.7,13.7,64,42,0,0,1,1.3,8,10
U  1,70,67,10,11,20,22,4.1,4.2,2,1.5,0.17,0.15,7,9,17,14,50,40,0,0,1.2,1.5,12,10
U  2,50.8,47,16.8,18,32.3,35,4.2,4.2,2.38,2,0.3,0.25,8,9,15.1,13.7,48,42,0,0,1,1.3,8,10
U  3,30,27,30,31,40,42,4.2,4.3,3,2,0.3,0.25,8,10,30,23,50,40,0,0,1.2,1.4,10,8
V,24.6,22.4,14.4,13.4,61,64.2,7.3,7.7,0.68,0.51,0.09,0.05,96,97,48.7,50.5,76,76,1.8,4.7,1.5,1.6,15,13
VC,22.4,20.8,24.5,23.5,53,55.7,7.8,8,0.69,0.46,0.08,0.06,98,99,45.3,44.8,82,80,3.8,6,1.6,1.7,13,11
VC 1,44,40,30,34,26,26,7,7.5,1,0.5,0.07,0.04,90,95,27,25,90,90,1,3,1.2,1.7,15,12
VC 2,43.7,39.4,28.6,33,27.3,27.6,7.8,7.9,1.43,0.76,0.07,0.06,100,100,36.4,31.8,90,90,17.1,34.6,1.2,1.6,20,13
VC 3,20.2,18.8,23.9,22.5,55.8,58.6,7.8,8,0.61,0.43,0.09,0.06,98,99,46.2,46.1,82,80,2.7,3.8,1.6,1.7,9,9
VP,25.1,22.8,12.2,11,62.7,66.1,7.2,7.6,0.68,0.52,0.11,0.03,96,97,49.4,51.7,75,76,1.3,3.5,1.1,1.2,19,22
VP 1,55,45,15,17,30,38,7,7.5,1,0.5,0.05,0.03,90,95,31,36,90,90,1,3,1.4,1.7,20,18
VP 2,53.2,44.2,15.9,16.5,31.1,39.4,7.8,7.8,0.76,0.57,0.04,0.03,94,93,28.2,36.7,90,92,3.1,7.1,1.4,1.6,23,22
VP 3,24.4,22.4,11.5,10.9,64.2,66.7,7.2,7.6,0.67,0.52,0.14,0.04,96,97,50.2,52.3,75,75,1.2,3.2,1.1,1.2,16,12
W,61.4,51.3,21.9,18.1,16.7,30.6,6.3,6.8,1.25,0.41,0.17,0.08,74,83,11.2,16.4,48,56,0.5,1,1.4,1.5,13,10
WD,19.8,15.2,55.2,47.5,24.8,37.3,4.7,5.1,4.27,0.53,0.31,0.05,24,25,21.3,13.8,39,44,0,2.2,1.3,1.4,17,9
WD 1,90,75,5,5,5,20,4.5,5,1.2,0.2,0.07,0.02,41,45,6,9,40,40,0,0,1.4,1.7,17,10
WD 2,28.5,23.5,61.5,55.5,9.8,21,4.5,4.5,1.5,0.13,0.05,0.02,41,28,2.7,7.9,59,38,0,0,1.6,1.7,25,8
WD 3,11.1,6.2,49,45.1,39.9,48.8,4.9,5.7,4.63,0.81,0.37,0.08,16,24,27.5,17.1,19,60,0,5.5,1.1,1.2,13,11
WE,76.6,68.9,10.3,7.5,13.1,23.4,6.2,6.4,0.46,0.24,0.07,0.06,84,91,8.4,14,48,60,0,0.1,1.4,1.5,10,7
WE 1,88.9,77.8,4.6,3.7,6.6,18.3,6.3,6.4,0.23,0.15,0.06,0.04,91,93,3.3,11.6,43,66,0,0,1.4,1.8,8,4
WE 2,52.1,47.4,24.4,16.3,23.5,36.3,5.7,6.5,1.06,0.59,0.09,0.08,73,92,12.3,20.4,44,50,0,0.4,1.4,1.7,11,8
WE 3,40.2,53.4,19.7,15.6,40.2,31,6.6,6.7,0.53,0.13,0.05,0.02,60,72,37.9,14.6,93,46,0,0,1.4,1.7,10,7
WH,60,50,10,10,30,40,4.8,5.4,2,0.5,0.13,0.04,40,50,19,18,40,40,0,0,1.3,1.7,15,12
WH 1,85,70,5,5,10,25,4.5,5.2,1.5,0.3,0.09,0.02,20,45,9,11,40,40,0,0,1.3,1.8,17,14
WH 2,65,50,10,10,25,40,4.8,5.4,2,0.5,0.13,0.04,40,50,17,18,40,40,0,0,1.2,1.7,15,12
WH 3,40,35,15,15,40,50,5.2,5.6,2.2,0.55,0.17,0.05,45,55,24,22,40,40,0,0,1.3,1.8,13,11
WM,21.1,16.6,56.8,41.6,22.2,41.8,5.9,6.6,2.02,0.65,0.19,0.07,85,96,19.3,30.2,86,72,0,0.2,1.2,1.7,11,10
WM 1,85,70,5,5,10,25,5.6,6.4,1.5,0.5,0.12,0.01,70,90,13,19,80,70,0,0.1,1.3,1.8,12,11
WM 2,21.1,16.6,56.8,41.6,22.2,41.8,5.9,6.6,2.02,0.65,0.19,0.07,85,96,19.3,30.2,86,72,0,0.2,1.2,1.7,11,10
WM 3,40,35,15,15,40,50,6,6.8,2.2,0.7,0.2,0.07,85,95,40,37,80,70,0,0.5,1.2,1.7,11,10
WS,69.1,57.6,16.7,14.1,14.3,28.3,6.9,7.8,0.72,0.34,0.13,0.12,78,91,10.2,15.7,45,52,1,1.3,1.4,1.7,11,12
WS 1,78.2,65.3,13,11.6,8.9,23.1,7.1,8.4,0.65,0.3,0.06,0.06,76,93,6.1,11.7,48,51,0.2,1,1.5,1.5,9,7
WS 2,50.3,42.1,25.3,19.3,24.4,38.7,6.7,7.4,0.87,0.46,0.23,0.25,80,89,16.1,20.7,39,55,0,1,1.4,2,10,6
WS 3,40,30,20,20,40,50,7,8.5,0.9,0.4,0.09,0.05,80,100,19,26,40,50,0.5,4,1.4,1.7,10,8
WX,65,50,10,10,25,40,5,5.6,2,0.5,0.17,0.03,40,60,25,26,70,60,0,0,1.5,1.7,12,15
WX 1,85,70,5,5,10,25,4.8,5.4,2,0.5,0.17,0.03,30,50,14,17,70,60,0,0,1.5,1.8,12,15
WX 2,65,50,10,10,25,40,5,5.6,2,0.5,0.17,0.03,40,60,25,26,70,60,0,0,1.4,1.7,12,15
WX 3,40,35,15,15,40,50,5.2,5.8,2,0.5,0.17,0.03,45,65,35,32,70,60,0,0,1.5,1.8,12,15
X,72.8,67.7,10.5,11,16.8,21.4,7.2,7.4,0.36,0.25,0.07,0.05,88,87,13.3,14.5,50,47,2.1,3.8,1.5,1.5,8,6
XH,54.8,52.4,20.6,21.5,24.9,26.3,7.7,8.2,0.53,0.24,0.09,0.06,99,100,17.5,15.2,66,71,0.8,1.7,1.5,1.5,8,5
XH 1,75.9,75.8,12.5,12.1,11.7,12.3,7.8,8.7,0.65,0.23,0.09,0.05,100,100,21,14.9,54,41,0,1.2,1.5,1.5,7,5
XH 2,55,52,21,21,24,27,7.7,8.2,0.5,0.25,0.06,0.04,99,100,14,12,50,40,0,1,1.5,1.5,9,7
XH 3,33.8,28.9,28.8,31,38.2,40.3,7.9,8.1,0.44,0.27,0.08,0.07,100,100,16.2,18.3,40,44,1.7,1.9,1.5,1.5,9,6
XK,48.7,37.4,29.9,36.4,21.6,26.1,8.2,8.4,0.64,0.36,0.03,0.02,99,98,17.6,22.1,47,29,3,7,1.4,1.4,21,15
XK 1,85.8,77.9,3.8,7.8,10.3,14.3,8.4,9.2,0.5,0.25,0.03,0.02,100,100,11.6,9,65,60,1.8,11.2,1.6,1.6,17,12
XK 2,20.5,18.2,57.9,54.6,21.8,27,8.3,8.3,0.67,0.34,0.04,0.03,98,97,16,20,22,29,3.4,4.9,1.4,1.4,15,12
XK 3,47.5,54.2,12.9,10.5,39.6,35.3,7.6,8.1,0.83,0.37,0.06,0.03,100,100,35.2,44,80,80,1.5,5,1.4,1.4,14,11
XL,76,70.8,8,8.4,16.1,20.9,7.1,7.3,0.32,0.24,0.03,0.03,86,86,12.7,14,50,46,1.1,2.2,1.5,1.5,10,8
XL 1,83.3,79.3,6.5,6.2,10.3,14.5,7.1,7.2,0.22,0.17,0.02,0.02,85,84,13.3,14.5,60,51,0.3,0.5,1.6,1.5,12,10
XL 2,66.7,62.3,10.8,10.8,22.7,27.1,7,7.3,0.39,0.3,0.04,0.03,88,89,10.7,12.2,40,41,2.1,4.3,1.5,1.5,10,9
XL 3,38.2,27,12.7,16.2,49.2,56.9,7.9,8.2,0.58,0.45,0.06,0.05,100,100,24.1,24.5,43,39,5.8,10,1.4,1.4,10,9
XY,64.6,56.3,21.1,23.5,14.4,20.2,8.4,8.1,0.38,0.22,0.06,0.04,100,100,20,10,60,50,37.2,39.5,1.5,1.5,9,8
XY 1,96.7,86.6,1.3,5.3,2,8.1,8.8,8.4,0.23,0.12,0.02,0.01,100,100,10,5,60,50,43.5,34.9,1.6,1.4,11,9
XY 2,32.4,26,40.9,41.7,26.7,32.3,7.9,7.8,0.52,0.31,0.06,0.04,100,95,20,10,60,50,30.9,44.1,1.5,1.5,9,8
XY 3,40,35,22,23,38,42,8.5,8.2,0.5,0.25,0.06,0.03,100,100,22,15,60,50,35,45,1.4,1.5,9,8
Y,49.2,42.4,26,27.9,24.8,29.3,7.7,7.8,0.33,0.23,0.1,0.06,96,96,8.7,7.9,66,50,13.1,22.1,1.5,1.4,8,11
YH,50.4,40.8,29,38.9,20.6,20.3,6.6,6.8,0.3,0.2,0.04,0.03,75,80,13,11,60,50,0,0,1.5,1.4,8,11
YH 1,75,75,12,12,13,13,6.4,6.8,0.3,0.2,0.03,0.02,70,80,9,9,60,50,0,0,1.6,1.4,9,12
YH 2,50.4,40.8,29,38.9,20.6,20.3,6.6,6.8,0.4,0.25,0.04,0.03,75,80,13,11,60,50,0,0,1.5,1.4,8,11
YH 3,35,30,27,30,38,40,6.8,7,0.4,0.25,0.05,0.02,80,90,24,20,60,50,0,0.5,1.5,1.4,8,11
YK,63.5,51,17.9,21.1,18.7,27.5,8,8.2,0.26,0.2,0.18,0.11,99,97,8.9,7.7,78,57,19.9,39.6,1.5,1.4,8,10
YK 1,82.4,76.7,10.4,15,7.6,8.4,7.7,7.9,0.12,0.13,0.01,0.01,98,95,5.5,4.7,87,60,3.8,26.8,1.5,1.4,14,17
YK 2,57.7,47.3,25.7,30.3,16.6,21.9,8.2,8.2,0.3,0.24,0.03,0.02,100,100,9.8,11.3,59,52,26,37.7,1.6,1.4,10,12
YK 3,31.4,3.3,25,24,43,71.3,8.4,8.6,0.5,0.29,0.5,0.29,100,100,14.9,10.2,33,30,46.1,67.1,1.6,1.4,1,1
YL,69.8,53,5.7,8.3,24.4,38.7,6.3,7,0.4,0.2,0.04,0.02,71,81,7.1,10.5,30,26,0,0.5,1.5,1.5,10,10
YL 1,80,75,6,6,14,19,6.3,6.8,0.35,0.2,0.04,0.02,70,80,7,6,40,30,0,0,1.6,1.5,10,12
YL 2,69.8,53,5.7,8.3,24.4,38.7,6.3,7,0.4,0.25,0.04,0.02,71,81,7.1,10.5,30,26,0,0,1.5,1.5,10,13
YL 3,35,30,12,16,53,54,6.5,7.2,0.4,0.3,0.04,0.03,75,90,17,15,30,25,0,0.5,1.5,1.5,1,11
YT,10,5,40,40,50,55,8,7.4,0.41,0.4,0.05,0.06,100,95,15,18,30,33,17.3,21,1.7,1.5,8,7
YT 1,50,45,25,25,25,30,7.8,7.2,0.3,0.3,0.03,0.04,95,90,10,12,40,40,3,1,1.8,1.5,9,8
YT 2,45,40,28,33,27,27,8.2,7.6,0.4,0.3,0.05,0.04,100,95,12,12,44,44,5,20,1.7,1.5,8,7
YT 3,9,2,35,40,56,58,8.2,8,0.4,0.3,0.05,0.04,100,100,18,20,30,30,15,25,1.7,1.5,8,7
YY,49,48.5,10.7,9.4,40.3,41.8,8.3,8,0.13,0.16,0.07,0.01,99,97,3.8,2.7,60,50,20.7,19,1.5,1.4,7,16
YY 1,96,94.7,3,4.1,1,1.2,8,7.7,0.13,0.16,0.01,0.01,98,94,1.9,1.8,60,50,1.2,2.8,1.6,1.4,13,16
YY 2,35,30,40,40,25,30,8.3,8,0.15,0.15,0.02,0.01,100,100,5,3,60,50,20,15,1.5,1.4,10,15
YY 3,2,2.3,18.3,14.7,79.5,82.4,8.5,8.3,0.12,0.12,0.12,0.01,100,100,5.6,3.5,60,50,40.2,35.1,1.4,1.4,1,16
Z,39.5,36.7,23.4,24.8,37.2,38.6,9,9.2,0.49,0.36,0.05,0.05,100,100,16.6,19,45,44,19.5,22.6,1.8,1.5,13,9
ZG,47.8,41.7,8.5,11,43.8,47.4,9.2,9.2,0.38,0.35,0.05,0.07,100,100,17.6,20.5,40,43,30.4,32.4,1.7,1,17,9
ZG 1,78.1,62.1,8.2,13.9,13.7,23.9,10.6,10.2,0.2,0.2,0.01,0.02,100,100,7.2,15.8,47,65,45.3,45.7,1.8,1.8,18,10
ZG 2,65.9,66.5,3.6,5.1,30.5,28.8,10.4,10.4,0.11,0.23,0.01,0.03,100,100,7.8,6.8,24,21,30,30,1.7,1,17,9
ZG 3,23.6,19.2,11,12.4,65.5,68.5,8.7,8.7,0.41,0.35,0.02,0.04,100,100,27.8,29.7,44,42,47.1,61.5,1.7,1.7,23,10
ZM,48.4,48.9,34.1,36.9,17.5,15.3,8.5,8.7,1.83,0.97,0.2,0.14,100,100,20,14,80,70,19,24.4,1.5,1.5,9,7
ZM 1,85,75,5,5,10,20,8.2,8.5,1.5,0.7,0.15,0.09,100,100,13,16,80,70,10,20,1.6,1.6,10,8
ZM 2,48.4,48.9,34.1,36.9,17.5,15.3,8.5,8.7,1.83,0.97,0.2,0.14,100,100,20,14,80,70,19,24.4,1.5,1.5,9,7
ZM 3,30,20,30,25,40,55,8.7,8.7,1.8,0.9,0.18,0.11,100,100,38,40,80,70,20,25,1.5,1.5,10,8
ZO,43.2,37.2,24.6,24.5,32.4,38.2,9.3,9.5,0.4,0.28,0.03,0.03,100,100,13.9,16.8,47,42,9,11.5,1.8,1.8,12,10
ZO 1,95.6,75.9,0.8,2.5,4.2,21.3,8.9,10.1,0.18,0.07,0.02,0.01,100,100,2.6,5.9,46,24,0,5,1.7,1.7,12,10
ZO 2,37.9,34.7,45.6,46.2,16.6,19.2,9.5,9.4,0.49,0.24,0.04,0.02,100,100,6.6,10,44,43,1.9,2.7,1.8,1.5,12,10
ZO 3,22.2,20.5,15.7,13.7,62.2,65.7,9.3,9.4,0.42,0.42,0.04,0.04,100,100,26.8,29.1,48,51,16.1,20.2,1.9,1.9,12,10
ZT,19.2,25.2,37.6,39.6,43.1,35.2,8.4,8.7,0.39,0.31,0.05,0.05,100,100,21.5,21.8,51,53,19.2,24.3,1.8,1.5,10,10
ZT 1,50,45,35,45,15,10,8.2,8.5,0.3,0.25,0.03,0.02,100,100,9,6,50,50,0,5,1.8,1.5,10,10
ZT 2,46.9,63.9,30.7,24.6,22.1,11.5,8.3,8.6,0.25,0.23,0.04,0.04,100,100,10.5,8.6,44,53,5,15,1.7,1.5,6,6
ZT 3,5.4,5.8,41.1,47.2,53.6,47.1,8.4,8.7,0.46,0.36,0.06,0.05,100,100,32.5,34.9,57,53,19.2,24.3,1.7,1.5,12,12
DS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ST,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
